station_id,name,alternative-fr,alternative-nl,alternative-de,alternative-en,country-code,longitude,latitude,avg_stop_times,official_transfer_time
8833258,Langdorp,,,,,be,4.863541,51.002466,107.037313,300
8874559,Le Campinaire,,,,,be,4.542787,50.42383,113.462687,300
8812161,Lebbeke,,,,,be,4.134372,51.005009,90.977612,300
8895067,Lede,,,,,be,3.984981,50.970895,74.537313,300
8864816,Leignon,,,,,be,5.107778,50.267768,61.216418,300
8843224,Leman,,,,,be,5.468309,50.600396,86.067164,300
8814332,Lembeek,,,,,be,4.221577,50.715107,162.276119,300
8881190,Lens,,,,,be,3.903224,50.559342,36.447761,300
8832003,Leopoldsburg,Bourg-Léopold,,,,be,5.257287,51.117312,30.716418,300
8775544,Les Arcs - Draguignan,,,,,fr,6.4826446,43.4555673,0,
8886504,Lessen,Lessines,Lessen,Lessines,Lessines,be,3.836434,50.712015,37.567164,300
8833001,Leuven,Louvain,,Löwen,,be,4.715866,50.88228,516.731343,300
8886348,Leuze,,,,,be,3.616872,50.600612,78.485075,300
8882339,Leval,,,,,be,4.211041,50.430797,36.164179,300
8728710,Lezennes,,,,,fr,3.116667,50.616666,8.38806,300
8865003,Libramont,,,,,be,5.37927,49.920434,155.985075,240
8892205,Lichtervelde,,,,,be,3.127212,51.025163,105.231343,180
8895836,Liedekerke,,,,,be,4.095287,50.882531,191.470149,300
8821600,Lier,Lierre,,,,be,4.560614,51.135758,215.052239,600
8895570,Lierde,,,,,be,3.826564,50.816236,43,300
8841673,Liers,,,,,be,5.56683,50.698181,105.671642,300
8872520,Ligny,,,,,be,4.566133,50.511726,33.686567,300
8722326,Lille Europe,,Rijsel-Europa,,,fr,3.0756612,50.6391167,0.350746,300
8728600,Lille Flandres,,Rijsel-Vlaanderen,,,fr,3.066669,50.633333,63.044776,300
8814241,Lillois,,,,,be,4.365368,50.645423,147.358209,300
8811635,Limal,,,,,be,4.575302,50.69214,61.746269,300
8032572,Limburg Süd,,,,,de,8.063261,50.3842,0.022388,300
8814142,Linkebeek,,,,,be,4.339434,50.773681,181.052239,300
8891629,Lissewege,,,,,be,3.194505,51.294714,26.119403,300
8841558,Liège-Carré,,Luik-Carre,,,be,5.561131,50.640299,147.91791,300
8841004,Liège-Guillemins,,Luik-Guillemins,,,be,5.566695,50.62455,451.537313,300
8841525,Liège-Saint-Lambert,,Luik-Sint-Lambertus,,,be,5.570453,50.646349,147.91791,300
8871712,Lobbes,,,,,be,4.260958,50.346469,32.641791,300
8872306,Lodelinsart,,,,,be,4.462946,50.432451,33.604478,300
8894201,Lokeren,,,,,be,3.987794,51.108062,211.223881,240
8832565,Lommel,,,,,be,5.312031,51.211564,34.186567,300
8822111,Londerzeel,,,,,be,4.299073,51.009091,66.313433,300
7015400,London Saint Pancras International,Londres Saint Pancras,Londen Saint Pancras,,,gb,0.123808,51.5304,0.126866,240
8861416,Lonzée,,,,,be,4.7201,50.551935,130.11194,300
8814357,Lot,,,,,be,4.273696,50.766364,223.395522,300
8811676,Louvain-la-Neuve,,,,,be,4.615745,50.669793,100.320896,300
8863156,Lustin,,,,,be,4.877071381,50.36900032,60.970149,300
8871308,Luttre,,,,,be,4.38412,50.505856,130.470149,300
8772319,Lyon Part Dieu TGV,,,,,fr,4.85,45.75,0.08209,300
8772202,Lyon-Perrache TGV,,,,,fr,4.825301,45.74836,0.007463,300
8776290,Lyon-Saint Exupéry TGV,,,,,fr,5.075822,45.720907,0,
8200100,Lëtzebuerg,Luxembourg,Luxemburg,Luxemburg,,lu,6.133331,49.599996,155.350746,300
8400424,Maastricht,,,,,nl,5.705392,50.85,35.067164,300
8400426,Maastricht Randwyck,,,,,nl,5.716707,50.838502,35.067164,300
8886041,Maffle,,,,,be,3.800117,50.614356,35.447761,300
8822137,Malderen,,,,,be,4.22911,51.014484,66.313433,300
8200516,Mamer,,,,,lu,6.02014,49.625663,33.171642,300
8210014,Mamer-Lycée,,,,,lu,6.02968,49.618415,33.641791,300
8882701,Manage,,,,,be,4.234683,50.506108,41.119403,180
8866175,Marbehan,,,,,be,5.539755,49.727337,60.067164,300
8864410,Marche-en-Famenne,,,,,be,5.346289,50.222472,30.738806,300
8863461,Marche-les-Dames,,,,,be,4.96458,50.480741,88.313433,300
8883220,Marche-lez-Écaussinnes,,,,,be,4.177098,50.546173,60.044776,300
8871852,Marchienne-Zone,,,,,be,4.388767,50.397465,32.641791,300
8871100,Marchienne-au-Pont,,,,,be,4.394223,50.412171,185.567164,300
8891132,Maria-Aalter,,,,,be,3.38673,51.107612,188.276119,300
8875002,Mariembourg,,,,,be,4.525691,50.09549,31.649254,300
8864345,Marloie,,,,,be,5.313892,50.202821,108.679104,300
8711184,Marne-la-Vallée - Chessy,,,,,fr,2.782184,48.868256,0.119403,300
8775100,Marseille-Saint-Charles,,,,,fr,5.380752,43.303178,0.037313,300
8881174,Masnuy-Saint-Pierre,,,,,be,3.962139,50.536546,86.179104,300
8739370,Massy TGV,,,,,fr,2.261254,48.725758,0.007463,300
8729500,Maubeuge,,,,,fr,3.966566,50.27289,3.522388,300
8885530,Maubray,,,,,be,3.495527,50.547557,66.597015,300
