Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
TILLY,132,128.28,0.97,29,4.0,1.0,3.03,0.76,488.0,TILLY,200.0,28.0,24.0,200.0,25.66,0.08066083576287658
TILLY-GARAGE,132,54.97,0.42,29,2.0,1.0,1.52,0.76,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08066083576287658
TOLLEMBEEK,117,478.9,4.09,24,30.0,8.0,25.64,6.84,489.0,TOLLEMBEEK,258.0,58.0,58.0,258.0,123.56,0.0456754130223518
TONGEREN,95,107.53,1.13,20,2.0,0.0,2.11,0.0,490.0,TONGEREN,680.0,175.0,191.0,680.0,73.12,0.04081632653061224
TORHOUT,150,652.48,4.35,31,22.0,7.0,14.67,4.67,491.0,TORHOUT,1757.0,364.0,397.0,1757.0,1146.41,0.05150631681243926
TOURNAI,229,614.07,2.68,48,36.0,7.0,15.72,3.06,493.0,TOURNAI,6316.0,2478.0,2089.0,6316.0,3878.47,0.0923226433430515
TROIS-PONTS,70,161.13,2.3,14,10.0,2.0,14.29,2.86,494.0,TROIS-PONTS,154.0,113.0,213.0,154.0,24.81,0.011661807580174927
TROOZ,241,614.92,2.55,50,46.0,9.0,19.09,3.73,495.0,TROOZ,119.0,44.0,37.0,119.0,73.18,0.10787172011661808
TUBIZE,343,1049.37,3.06,72,61.0,6.0,17.78,1.75,496.0,TUBIZE,2642.0,1376.0,971.0,2642.0,2772.44,0.15063168124392615
TURNHOUT,58,46.85,0.81,12,2.0,1.0,3.45,1.72,497.0,TURNHOUT,1581.0,594.0,1101.0,1581.0,74.07,0.043731778425655975
UKKEL-KALEVOET,252,436.28,1.73,51,27.0,5.0,10.71,1.98,0.0,0,0.0,0.0,0.0,0.0,0.0,0.10398445092322643
UKKEL-STALLE,257,469.77,1.83,52,27.0,5.0,10.51,1.95,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12439261418853255
VELTEM,703,2241.95,3.19,147,155.0,23.0,22.05,3.27,500.0,VELTEM,339.0,92.0,90.0,339.0,760.02,0.3848396501457726
VERTRIJK,321,1013.48,3.16,69,69.0,4.0,21.5,1.25,501.0,VERTRIJK,496.0,154.0,139.0,496.0,502.69,0.15257531584062195
VERVIERS-CENTRAL,241,747.65,3.1,51,43.0,7.0,17.84,2.9,502.0,VERVIERS-CENTRAL,4202.0,2640.0,2642.0,4202.0,3141.63,0.10301263362487852
VERVIERS-PALAIS,181,630.47,3.48,37,42.0,7.0,23.2,3.87,503.0,VERVIERS-PALAIS,8.0,24.0,20.0,8.0,5.04,0.07871720116618076
VEURNE,75,110.43,1.47,15,4.0,1.0,5.33,1.33,504.0,VEURNE,506.0,212.0,400.0,506.0,55.88,0.03206997084548105
VIANE-MOERBEKE,117,519.08,4.44,24,33.0,9.0,28.21,7.69,505.0,VIANE-MOERBEKE,429.0,68.0,66.0,429.0,222.69,0.03984450923226433
VICHTE,191,416.9,2.18,41,18.0,6.0,9.42,3.14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07482993197278912
VIELSALM,70,173.13,2.47,14,11.0,2.0,15.71,2.86,507.0,VIELSALM,219.0,114.0,173.0,219.0,37.92,0.019436345966958212
VIJFHUIZEN,43,19.97,0.46,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.007774538386783284
VILLE-POMMEROEUL,144,307.12,2.13,30,20.0,5.0,13.89,3.47,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06511175898931001
VILLERS-LA-VILLE,132,124.1,0.94,29,4.0,1.0,3.03,0.76,510.0,VILLERS-LA-VILLE,274.0,47.0,52.0,274.0,34.0,0.0826044703595724
VILVOORDE,580,1165.72,2.01,118,61.0,4.0,10.52,0.69,511.0,VILVOORDE,6196.0,2249.0,1671.0,6196.0,7222.8,0.31875607385811466
VIRTON,75,133.93,1.79,15,7.0,0.0,9.33,0.0,512.0,VIRTON,353.0,85.0,206.0,353.0,47.28,0.015549076773566569
VISE,90,136.25,1.51,18,5.0,2.0,5.56,2.22,513.0,VISE,821.0,242.0,201.0,821.0,111.86,0.014577259475218658
VIVILLE,131,192.4,1.47,27,7.0,1.0,5.34,0.76,515.0,VIVILLE,30.0,13.0,16.0,30.0,5.77,0.03984450923226433
VOROUX,156,264.03,1.69,33,13.0,4.0,8.33,2.56,0.0,0,0.0,0.0,0.0,0.0,0.0,0.04956268221574344
VORST-OOST,256,457.35,1.79,52,27.0,5.0,10.55,1.95,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673
VORST-ZUID,501,1562.68,3.12,109,109.0,12.0,21.76,2.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2206025267249757
WAARSCHOOT,75,109.67,1.46,15,5.0,0.0,6.67,0.0,517.0,WAARSCHOOT,263.0,71.0,87.0,263.0,28.84,0.01749271137026239
WALCOURT,75,101.18,1.35,16,4.0,0.0,5.33,0.0,518.0,WALCOURT,282.0,97.0,111.0,282.0,28.53,0.02040816326530612
WAREGEM,156,433.35,2.78,35,23.0,4.0,14.74,2.56,519.0,WAREGEM,2473.0,933.0,942.0,2473.0,1071.67,0.11078717201166181
WAREMME,156,361.63,2.32,33,16.0,4.0,10.26,2.56,520.0,WAREMME,2283.0,522.0,347.0,2283.0,825.6,0.0369290573372206
WATERLOO,369,916.1,2.48,75,47.0,5.0,12.74,1.36,521.0,WATERLOO,2212.0,791.0,516.0,2212.0,2026.41,0.14188532555879493
WATERMAAL,378,1151.85,3.05,79,95.0,15.0,25.13,3.97,0.0,0,0.0,0.0,0.0,0.0,0.0,0.21865889212827988
WAVRE,205,234.18,1.14,43,9.0,2.0,4.39,0.98,523.0,WAVRE,962.0,170.0,220.0,962.0,225.28,0.09620991253644315
WEERDE,546,1014.58,1.86,112,58.0,7.0,10.62,1.28,524.0,WEERDE,719.0,108.0,108.0,719.0,729.48,0.293488824101069
WELKENRAEDT,149,491.45,3.3,31,28.0,5.0,18.79,3.36,525.0,WELKENRAEDT,1755.0,1430.0,1004.0,1755.0,862.49,0.06997084548104957
WELLE,234,567.68,2.43,48,31.0,11.0,13.25,4.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.11661807580174927
WERVIK,89,293.33,3.3,18,14.0,3.0,15.73,3.37,527.0,WERVIK,719.0,304.0,280.0,719.0,210.9,0.028182701652089408
WESPELAAR-TILDONK,165,369.8,2.24,35,20.0,3.0,12.12,1.82,528.0,WESPELAAR-TILDONK,526.0,151.0,146.0,526.0,194.51,0.06608357628765792
WETTEREN,266,431.47,1.62,54,19.0,3.0,7.14,1.13,529.0,WETTEREN,2535.0,930.0,827.0,2535.0,1093.78,0.11564625850340136
WEVELGEM,89,274.43,3.08,18,13.0,1.0,14.61,1.12,530.0,WEVELGEM,458.0,175.0,192.0,458.0,125.69,0.05344995140913508
WEZEMAAL,329,774.58,2.35,68,49.0,3.0,14.89,0.91,531.0,WEZEMAAL,739.0,301.0,245.0,739.0,572.41,0.11273080660835763
WICHELEN,129,140.37,1.09,26,8.0,0.0,6.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.062196307094266275
WIJGMAAL,165,319.15,1.93,35,18.0,3.0,10.91,1.82,533.0,WIJGMAAL,640.0,126.0,115.0,640.0,204.26,0.04859086491739553
WILDERT,174,526.52,3.03,37,28.0,3.0,16.09,1.72,534.0,WILDERT,283.0,131.0,137.0,283.0,149.01,0.07677356656948493
WILLEBROEK,92,303.25,3.3,19,15.0,4.0,16.3,4.35,535.0,WILLEBROEK,608.0,230.0,212.0,608.0,184.38,0.023323615160349854
WOLFSTEE,289,556.47,1.93,59,31.0,5.0,10.73,1.73,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1000971817298348
WONDELGEM,80,126.28,1.58,16,9.0,0.0,11.25,0.0,537.0,WONDELGEM,185.0,65.0,25.0,185.0,23.36,0.026239067055393587
YVES-GOMEZEE,72,103.83,1.44,15,6.0,0.0,8.33,0.0,538.0,YVES-GOMEZEE,48.0,19.0,16.0,48.0,4.98,0.02040816326530612
YVOIR,125,195.08,1.56,25,5.0,1.0,4.0,0.8,539.0,YVOIR,728.0,627.0,536.0,728.0,142.02,0.038872691933916424
ZANDBERGEN,149,399.93,2.68,30,22.0,4.0,14.77,2.68,540.0,ZANDBERGEN,193.0,55.0,42.0,193.0,77.19,0.028182701652089408
ZAVENTEM,801,2640.35,3.3,170,174.0,22.0,21.72,2.75,541.0,ZAVENTEM,1538.0,423.0,395.0,1538.0,4060.86,0.369290573372206
ZEDELGEM,150,635.63,4.24,31,24.0,7.0,16.0,4.67,542.0,ZEDELGEM,599.0,123.0,139.0,599.0,380.74,0.04664723032069971
ZEEBRUGGE-DORP,40,48.63,1.22,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.012633624878522837
ZEEBRUGGE-VORMING,79,70.05,0.89,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.027210884353741496
ZELE,110,154.82,1.41,22,3.0,1.0,2.73,0.91,545.0,ZELE,940.0,173.0,147.0,940.0,145.53,0.01652089407191448
ZELLIK,179,679.4,3.8,36,45.0,8.0,25.14,4.47,546.0,ZELLIK,541.0,134.0,95.0,541.0,367.56,0.08843537414965986
ZICHEM,275,631.72,2.3,56,44.0,2.0,16.0,0.73,547.0,ZICHEM,293.0,94.0,76.0,293.0,185.09,0.10592808551992225
ZINGEM,120,157.72,1.31,24,6.0,1.0,5.0,0.83,548.0,ZINGEM,523.0,98.0,86.0,523.0,82.49,0.029154518950437316
ZOLDER,59,135.67,2.3,12,8.0,1.0,13.56,1.69,549.0,ZOLDER,123.0,38.0,37.0,123.0,16.69,0.012633624878522837
ZOLDER-KRUISSPOREN,59,136.15,2.31,12,10.0,1.0,16.95,1.69,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0184645286686103
ZONHOVEN,59,132.05,2.24,12,10.0,1.0,16.95,1.69,550.0,ZONHOVEN,67.0,29.0,19.0,67.0,8.85,0.01652089407191448
ZOTTEGEM,326,618.73,1.9,68,33.0,8.0,10.12,2.45,551.0,ZOTTEGEM,4936.0,986.0,931.0,4936.0,3054.05,0.12050534499514091
ZWIJNDRECHT,300,510.83,1.7,60,24.0,2.0,8.0,0.67,552.0,ZWIJNDRECHT,401.0,43.0,44.0,401.0,204.84,0.14285714285714285
