Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,betweenness_centrality
OUDENAARDE,299,362.05,1.21,63,15.0,5.0,5.02,1.67,406.0,OUDENAARDE,3814.0,1027.0,722.0,3814.0,1380.86,0.1098153547133139
OUGREE,118,95.03,0.81,24,1.0,0.0,0.85,0.0,407.0,OUGREE,65.0,31.0,21.0,65.0,6.18,0.031098153547133137
OVERPELT,64,306.68,4.79,13,24.0,3.0,37.5,4.69,408.0,OVERPELT,248.0,71.0,146.0,248.0,76.06,0.03595724003887269
PALISEUL,60,38.13,0.64,12,1.0,0.0,1.67,0.0,409.0,PALISEUL,65.0,26.0,51.0,65.0,2.48,0.01749271137026239
PAPIGNIES,79,229.0,2.9,16,12.0,2.0,15.19,2.53,410.0,PAPIGNIES,110.0,21.0,13.0,110.0,25.19,0.02040816326530612
PECROT,177,187.42,1.06,37,5.0,3.0,2.82,1.69,411.0,PECROT,229.0,19.0,21.0,229.0,42.92,0.08066083576287658
PEPINSTER,305,850.97,2.79,64,56.0,7.0,18.36,2.3,412.0,PEPINSTER,1799.0,385.0,375.0,1799.0,1530.9,0.13216715257531583
PEPINSTER-CITE,64,131.62,2.06,13,10.0,0.0,15.62,0.0,413.0,PEPINSTER-CITE,55.0,16.0,18.0,55.0,7.24,0.008746355685131196
PERUWELZ,148,280.83,1.9,30,19.0,7.0,12.84,4.73,414.0,PERUWELZ,784.0,235.0,150.0,784.0,220.17,0.061224489795918366
PHILIPPEVILLE,61,83.05,1.36,13,4.0,0.0,6.56,0.0,415.0,PHILIPPEVILLE,372.0,59.0,82.0,372.0,30.89,0.021379980563654033
PHILIPPEVILLE-642,61,43.28,0.71,13,3.0,0.0,4.92,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.01749271137026239
PIETON,187,377.07,2.02,38,20.0,9.0,10.7,4.81,416.0,PIETON,130.0,33.0,14.0,130.0,49.02,0.09815354713313897
POIX-SAINT-HUBERT,110,284.92,2.59,23,18.0,5.0,16.36,4.55,417.0,POIX-SAINT-HUBERT,21.0,30.0,37.0,21.0,5.98,0.05442176870748299
PONT-A-CELLES,70,62.68,0.9,14,2.0,0.0,2.86,0.0,418.0,PONT-A-CELLES,112.0,25.0,10.0,112.0,7.02,0.019436345966958212
PONT-DE-SERAING,198,370.32,1.87,40,23.0,1.0,11.62,0.51,419.0,PONT-DE-SERAING,239.0,17.0,27.0,239.0,88.51,0.07774538386783285
POPERINGE,39,38.6,0.99,8,1.0,0.0,2.56,0.0,420.0,POPERINGE,564.0,309.0,593.0,564.0,21.77,0.026239067055393587
POULSEUR,139,329.22,2.37,28,15.0,2.0,10.79,1.44,421.0,POULSEUR,196.0,92.0,82.0,196.0,64.53,0.05442176870748299
PROFONDSART,379,1279.27,3.38,79,72.0,11.0,19.0,2.9,422.0,PROFONDSART,202.0,112.0,120.0,202.0,258.41,0.16229348882410108
PRY,73,62.93,0.86,16,3.0,0.0,4.11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612
PUURS,143,359.63,2.51,31,24.0,3.0,16.78,2.1,424.0,PUURS,1516.0,534.0,447.0,1516.0,545.2,0.06511175898931001
QUAREGNON,231,695.18,3.01,47,43.0,12.0,18.61,5.19,425.0,QUAREGNON,533.0,211.0,144.0,533.0,370.53,0.1000971817298348
QUEVY,42,174.5,4.15,9,3.0,1.0,7.14,2.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.013605442176870748
QUIEVRAIN,34,29.78,0.88,7,1.0,0.0,2.94,0.0,427.0,QUIEVRAIN,403.0,165.0,183.0,403.0,12.0,0.03012633624878523
REBAIX,79,230.37,2.92,16,13.0,2.0,16.46,2.53,428.0,REBAIX,106.0,19.0,12.0,106.0,24.42,0.028182701652089408
REMICOURT,158,296.6,1.88,34,15.0,4.0,9.49,2.53,429.0,REMICOURT,149.0,39.0,28.0,149.0,44.19,0.0369290573372206
