Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
OVERPELT,72,157.025,4.36,15,12.0,2.0,16.67,4.17,408.0,OVERPELT,248,71,146,248,77.88,0.025357607282184655,0.7874860655619593,112.0
PALISEUL,75,20.815,0.56,15,0.0,0.0,0.0,0.0,409.0,PALISEUL,65,26,51,65,2.71,0.026657997399219768,-2.4586565852621955,530.0
PAPIGNIES,93,136.29,2.93,19,8.0,1.0,8.6,2.15,410.0,PAPIGNIES,110,21,13,110,29.98,0.04746423927178153,-0.3441285026946167,234.0
PECROT,140,93.71,1.34,28,2.0,1.0,1.43,1.43,411.0,PECROT,229,19,21,229,42.92,0.06631989596879063,-1.2700315511899298,357.0
PEPINSTER,272,326.09,2.4,57,20.0,2.0,7.35,1.1,412.0,PEPINSTER,1799,385,375,1799,1173.27,0.08777633289986995,1.2742624715827346,81.0
PEPINSTER-CITE,69,71.325,2.07,14,6.0,0.0,8.7,0.0,413.0,PEPINSTER-CITE,55,16,18,55,7.85,0.013003901170351105,-0.9778402164227746,323.0
PERUWELZ,109,51.45,0.94,22,3.0,0.0,2.75,0.92,414.0,PERUWELZ,784,235,150,784,80.67,0.05201560468140442,-1.449479377353038,386.0
PHILIPPEVILLE,76,46.135,1.21,16,2.0,0.0,2.63,0.0,415.0,PHILIPPEVILLE,372,59,82,372,34.32,0.027958387516254877,-1.9129141084581405,469.0
PIETON,79,52.76,1.34,16,2.0,0.0,2.53,1.27,416.0,PIETON,130,33,14,130,13.72,0.020156046814044214,-1.9843840427930302,480.0
POIX-SAINT-HUBERT,52,43.11,1.66,11,2.0,0.0,3.85,0.0,417.0,POIX-SAINT-HUBERT,21,30,37,21,1.81,0.011053315994798439,-2.0104971127265956,484.0
PONT-A-CELLES,80,42.435,1.06,16,2.0,0.0,2.5,1.25,418.0,PONT-A-CELLES,112,25,10,112,9.51,0.02600780234070221,-1.9462892989707998,476.0
PONT-DE-SERAING,90,59.26,1.32,18,1.0,0.0,1.11,0.0,419.0,PONT-DE-SERAING,239,17,27,239,28.33,0.02990897269180754,-2.0578378798485466,496.0
POPERINGE,48,24.64,1.03,10,0.0,0.0,0.0,0.0,420.0,POPERINGE,564,309,593,564,27.79,0.026657997399219768,-2.5860990447376957,539.0
POULSEUR,169,188.275,2.23,34,8.0,1.0,4.73,1.18,421.0,POULSEUR,196,92,82,196,73.8,0.07152145643693109,-0.2548743101944299,224.0
PROFONDSART,69,156.985,4.55,14,10.0,1.0,14.49,2.9,422.0,PROFONDSART,202,112,120,202,63.42,0.029258777633289986,0.42858290736531746,145.0
PRY,41,18.665,0.91,9,0.0,0.0,0.0,0.0,0.0,PRY,59,17,14,59,2.2,0.009102730819245773,-2.8266362745719067,553.0
PUURS,166,188.8,2.27,36,12.0,2.0,7.23,1.81,424.0,PUURS,1516,534,447,1516,572.44,0.0799739921976593,0.28017663876458765,156.0
