Stopping place,total_trains,total_delay_minutes,avg_delay_minutes,unique_trains,delays_above_5min,delays_above_15min,pct_delays_above_5min,pct_delays_above_15min,Unnamed: 0,Station,Avg number of travelers in the week,Avg number of travelers on Saturday,Avg number of travelers on Sunday,avg_weekday_travelers,delay_times_1000_travelers,degree_centrality,bottleneck_score,bottleneck_rank
ANGLEUR,426,740.61,3.48,88,48.0,9.0,11.27,4.23,11.0,ANGLEUR,565,147,126,565,836.89,0.18658892128279883,3.5885070574253746,41.0
ANS,334,539.29,3.23,69,30.0,8.0,8.98,5.09,12.0,ANS,1040,118,88,1040,1121.72,0.13896987366375121,1.8787221838635988,71.0
ANSEREMME,65,26.435,0.81,13,0.0,0.0,0.0,0.0,13.0,ANSEREMME,51,124,45,51,2.7,0.02040816326530612,-3.437756593552156,576.0
ANTOING,143,134.41,1.88,29,9.0,2.0,6.29,2.8,14.0,ANTOING,293,123,107,293,78.76,0.05830903790087463,-1.0103656429919274,357.0
ANTWERPEN-BERCHEM,1264,1647.76,2.61,262,73.0,16.0,5.78,2.45,15.0,ANTWERPEN-BERCHEM,17289,8163,8506,17289,56976.25,0.4489795918367347,10.806198687011271,7.0
ANTWERPEN-CENTRAAL,800,1042.635,2.61,168,44.0,12.0,5.5,3.12,0.0,ANTWERPEN-CENTRAAL,1000,300,250,1000,2085.27,0.4645286686103013,6.63476600818619,20.0
ANTWERPEN-LUCHTBAL,391,713.615,3.65,85,40.0,11.0,10.23,5.63,17.0,ANTWERPEN-LUCHTBAL,1082,161,93,1082,1544.26,0.15354713313896987,2.865699699056283,53.0
ANTWERPEN-NOORDERDOKKEN,178,321.075,3.61,37,17.0,4.0,9.55,3.93,18.0,ANTWERPEN-NOORDERDOKKEN,263,43,16,263,168.89,0.062196307094266275,0.31154899466008196,195.0
ANTWERPEN-ZUID,412,394.125,1.91,83,18.0,2.0,4.37,1.21,19.0,ANTWERPEN-ZUID,3262,164,175,3262,2571.27,0.17201166180758018,1.120631260870208,109.0
ANZEGEM,196,197.7,2.02,42,9.0,3.0,4.59,3.06,0.0,ANZEGEM,1000,300,250,1000,395.4,0.05928085519922255,-1.0886800950691233,371.0
APPELTERRE,149,192.775,2.59,30,11.0,2.0,7.38,2.68,21.0,APPELTERRE,213,60,54,213,82.12,0.037900874635568516,-0.7840072713346569,321.0
ARCADEN,294,380.81,2.59,60,22.0,2.0,7.48,1.7,0.0,ARCADEN,1000,300,250,1000,761.62,0.13508260447035958,1.020547451788216,116.0
ARCHENNES,177,89.5,1.01,37,2.0,2.0,1.13,1.69,23.0,ARCHENNES,148,10,11,148,26.49,0.06316812439261418,-2.2005555121446827,484.0
ARLON,200,103.175,1.03,42,2.0,0.0,1.0,0.0,24.0,ARLON,5476,1331,3075,5476,1129.97,0.043731778425655975,-2.2510244785077673,491.0
ASSE,179,322.415,3.6,36,20.0,4.0,11.17,4.47,25.0,ASSE,1085,239,182,1085,699.64,0.07677356656948493,0.8617892085958543,131.0
ASSESSE,178,154.925,1.74,37,8.0,2.0,4.49,1.69,26.0,ASSESSE,212,57,40,212,65.69,0.08066083576287658,-1.0899683964254934,372.0
ATH,231,370.085,3.2,47,19.0,6.0,8.23,5.19,27.0,ATH,5256,1592,1712,5256,3890.33,0.08940719144800778,0.6021514508235487,162.0
ATHUS,127,70.275,1.11,26,4.0,0.0,3.15,0.0,28.0,ATHUS,989,219,169,989,139.0,0.011661807580174927,-2.3725077035466193,498.0
AUBANGE,75,52.65,1.4,15,4.0,0.0,5.33,0.0,0.0,AUBANGE,1000,300,250,1000,105.3,0.01652089407191448,-2.036560698808095,460.0
AUVELAIS,222,269.985,2.43,49,20.0,2.0,9.01,2.25,30.0,AUVELAIS,492,230,174,492,265.67,0.12147716229348883,0.7832431269337126,142.0
AYE,118,60.585,1.03,25,7.0,1.0,5.93,1.69,31.0,AYE,45,17,15,45,5.45,0.06511175898931001,-1.2772609484928197,400.0
AYWAILLE,70,102.815,2.94,14,6.0,1.0,8.57,2.86,32.0,AYWAILLE,180,87,95,180,37.01,0.031098153547133137,-1.0348273930255945,360.0
BAASRODE-ZUID,141,144.065,2.04,29,8.0,1.0,5.67,1.42,0.0,BAASRODE-ZUID,1000,300,250,1000,288.13,0.08357628765792031,-0.9408845636155861,352.0
BALEGEM-DORP,111,113.475,2.04,23,4.0,2.0,3.6,2.7,34.0,BALEGEM-DORP,291,74,72,291,66.04,0.034013605442176874,-2.068181917570234,465.0
BALEGEM-ZUID,111,116.24,2.09,23,4.0,2.0,3.6,2.7,0.0,BALEGEM-ZUID,1000,300,250,1000,232.48,0.03012633624878523,-2.0927455129781167,468.0
BALEN,58,85.86,2.96,12,6.0,0.0,10.34,1.72,36.0,BALEN,285,98,71,285,48.94,0.021379980563654033,-0.7505788577868613,319.0
BALEN-WERKPLAATSEN,67,128.4,3.83,14,10.0,1.0,14.93,2.99,0.0,BALEN-WERKPLAATSEN,1000,300,250,1000,256.8,0.03498542274052478,0.6372953294709875,154.0
